Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Race,Race Code,Year,Year Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2011,2011,Female,F,20,687819,2.91
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2011,2011,Male,M,33,600833,5.49
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2012,2012,Female,F,21,692223,3.03
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2012,2012,Male,M,31,605729,5.12
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2013,2013,Female,F,30,696742,4.31
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2013,2013,Male,M,29,610508,4.75
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2014,2014,Female,F,31,701059,4.42
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2014,2014,Male,M,28,613973,4.56
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2015,2015,Female,F,23,705276,3.26
,Brain and Other Nervous System,31010-31040,Alabama,1,Black or African American,2054-5,2015,2015,Male,M,35,618033,5.66
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2011,2011,Female,F,113,1730580,6.53
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2011,2011,Male,M,161,1677736,9.6
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2012,2012,Female,F,147,1733308,8.48
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2012,2012,Male,M,186,1679120,11.08
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2013,2013,Female,F,138,1734871,7.95
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2013,2013,Male,M,154,1679529,9.17
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2014,2014,Female,F,121,1737052,6.97
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2014,2014,Male,M,128,1680568,7.62
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2015,2015,Female,F,116,1737289,6.68
,Brain and Other Nervous System,31010-31040,Alabama,1,White,2106-3,2015,2015,Male,M,161,1679421,9.59
,Brain and Other Nervous System,31010-31040,Alaska,2,White,2106-3,2011,2011,Male,M,20,270455,7.39
,Brain and Other Nervous System,31010-31040,Alaska,2,White,2106-3,2012,2012,Male,M,22,272845,8.06
,Brain and Other Nervous System,31010-31040,Alaska,2,White,2106-3,2013,2013,Male,M,21,274874,7.64
