ID,region,poly,coordsx,coordsy,hole,plotorder,plug
AK,1,1,2,5,0,1,0
AK,1,1,7,10,0,1,0
AK,1,1,4,12,0,1,0
AK,1,1,7,15,0,1,0
AK,1,1,4,15,0,1,0
AK,1,1,4,17,0,1,0
AK,1,1,7,16,0,1,0
AK,1,1,5,19,0,1,0
AK,1,1,9,23,0,1,0
AK,1,1,16,20,0,1,0
AK,1,1,16,10,0,1,0
AK,1,1,13,12,0,1,0
AK,1,1,2,5,0,1,0
AL,2,3,88.5,34.5,0,1,0
AL,2,3,96.5,34.5,0,1,0
AL,2,3,98.5,19.5,0,1,0
AL,2,3,91.5,19.5,0,1,0
AL,2,3,91.5,16,0,1,0
AL,2,3,88.5,17,0,1,0
AL,2,3,88.5,34.5,0,1,0
AR,3,5,82.5,38.5,0,1,0
AR,3,5,82,34.5,0,1,0
AR,3,5,80.5,27.5,0,1,0
AR,3,5,72.5,27.5,0,1,0
AR,3,5,72.5,29.5,0,1,0
AR,3,5,69.5,30.5,0,1,0
AR,3,5,69.5,40.5,0,1,0
AR,3,5,79.5,40.5,0,1,0
AR,3,5,79.5,38.5,0,1,0
AR,3,5,82.5,38.5,0,1,0
AZ,4,7,26.5,43.5,0,1,0
AZ,4,7,38.5,43.5,0,1,0
AZ,4,7,38.5,23,0,1,0
AZ,4,7,32,23,0,1,0
AZ,4,7,24.5,27,0,1,0
AZ,4,7,24.5,39.5,0,1,0
AZ,4,7,26.5,39.5,0,1,0
AZ,4,7,26.5,43.5,0,1,0
CA,5,9,1,61.5,0,1,0
CA,5,9,13.5,61.5,0,1,0
CA,5,9,13.5,51.5,0,1,0
CA,5,9,24.5,39.5,0,1,0
CA,5,9,24.5,27,0,1,0
CA,5,9,20,27,0,1,0
CA,5,9,20,29,0,1,0
CA,5,9,12,33,0,1,0
CA,5,9,1,55,0,1,0
CA,5,9,1,61.5,0,1,0
CO,6,11,47.5,58.5,0,1,0
CO,6,11,53.5,58.5,0,1,0
CO,6,11,53.5,55.5,0,1,0
CO,6,11,53.5,43.5,0,1,0
CO,6,11,51.5,43.5,0,1,0
CO,6,11,38.5,43.5,0,1,0
